0;1;2;3;4;5;6;7;8
Dub;Vocal;Digital;;;;;;
Dub;Instru;Digital;Electrodub;Vocal;Heavy;;;
Dub;Instru;Digital;;;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Chill;;;;;
Dub;Vocal;ElectroDub;Heavy;;;;;
Dub;Vocal;Digital;Electrodub;Steppa;;;;
Dub;Vocal;Sample;Steppa;Digital;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Vocal;Electrodub;Digital;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Sample;Digital;Steppa;;;;
Dub;Instru;Digital;Electrodub;Dubstep;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Electrodub;Heavy;Steppa;Future;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Instru;Digital;Steppa;Uptempo;;;;
Dub;Vocal;Digital;;;;;;
Dub;Instru;Digital;Steppa;Electrodub;Future;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Digital;;;;;;
Dub;Vocal;Steppa;ElectroDub;;;;;
Dub;Vocal;Digital;Melodic;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Instru;Digital;;;;;;
Dub;Instru;Digital;Electrodub;Dubstep;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;Melodic;Steppa;;;;
Dub;Vocal;Digital;Steppa;Electrodub;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Steppa;Chill;;;;
Dub;Vocal;Digital;Electrodub;Steppa;;;;
Dub;Instru;Digital;Electrodub;Steppa;;;;
Dub;Vocal;Digital;Electrodub;Progressive;;;;
Dub;Vocal;Digital;Steppa;Electrodub;;;;
Dub;Instru;Steppa;Digital;;;;;
Dub;Instru;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Chill;;;;;
Dub;Instru;Steppa;Digital;;;;;
Dub;Instru;Downtempo;;;;;;
Dub;Vocal;Digital;Steppa;Electrodub;;;;
Dub;Vocal;Digital;Electrodub;Steppa;;;;
Dub;Instru;Digital;Steppa;;;;;
