;Occurence
 ElectroDub;1.0
?;1.0
Accoustique;23.0
Acid;71.0
AcidCore;1.0
Acidcore;5.0
BOF;3.0
Beatbox;1.0
Blues;11.0
Break;1.0
Chelou;2.0
Chill;354.0
Chorus;18.0
Classical;15.0
Core;30.0
Cumbia;2.0
DIRTY;1.0
DIgital;3.0
Dancehall;12.0
Dark;4.0
Didgeridoo;25.0
Digial;2.0
Digital;4014.0
Digital ;3.0
Digital ,Steppa;1.0
"Digital; Steppa";1.0
Digitall;1.0
Digitaln;1.0
Digtal;1.0
Dirty;77.0
Ditital;1.0
DnB;32.0
Dnb;7.0
DownTempo;1.0
Downtempo;24.0
Dub;5047.0
Dub ;1.0
Dub Vocal;1.0
DubTek;67.0
DubTek,Chill;1.0
DubaDub;1.0
Dubadub;204.0
Dubstep;125.0
Dubtek;7.0
ELectroDub;1.0
ElctroDub;2.0
Elctrodub;1.0
Electro;31.0
ElectroDUb;1.0
ElectroDub;1946.0
ElectroDunb;1.0
Electrodub;278.0
Electrodub ;1.0
Electronic;66.0
Exclu;1.0
FR;294.0
FR Digital;2.0
Fast;1.0
Fr;1.0
Frapcore;2.0
Future;10.0
Future Dub;16.0
Grime;1.0
Haevy;1.0
Hang;2.0
HangPan;5.0
Happy;2.0
HardBass;1.0
HardCore;1.0
HardTek;5.0
Hardcore;4.0
Hardstyle;3.0
Hardtek;3.0
Heavu;1.0
Heavy;337.0
Heavy ;1.0
Heay;1.0
Hip Hop;28.0
Hip hop;6.0
HipHop;46.0
Hiphop;1.0
House;6.0
Hybrid;1.0
ITA;3.0
Insru;2.0
Instru;2688.0
Instrun Electrodub;1.0
Instu;2.0
Instur;1.0
Intro;30.0
Jap;1.0
Jazz;5.0
Jazz ;1.0
JumpStyle;1.0
Jungle;4.0
Live;12.0
LowRes;1.0
Melodic;295.0
Melodica;7.0
Mental;11.0
MentalCore;1.0
Mix;1.0
Modique;9.0
Mongol;2.0
Mélodic;1.0
Mélodica;2.0
Mélodique;82.0
NON;3.0
Neurofunk;1.0
OS;430.0
Oriental;1.0
Other;68.0
Police;5.0
Prog;12.0
Progresive;1.0
Progressive;102.0
Progresssive;2.0
PsyDub;1.0
PsyTrance;1.0
Psydub;2.0
RaggaeTek;1.0
Rap;128.0
Reggae;922.0
ReggaeTek;5.0
Reggaeton;1.0
Regge;1.0
Remix;2.0
Reverse;1.0
Riddim;73.0
Rock;10.0
Roots;285.0
Russian;1.0
Sad;5.0
Sample;231.0
Sax;9.0
Saxo;1.0
Ska;8.0
Slam;9.0
Slow;72.0
Soul;1.0
Spanish;1.0
Spring;5.0
Steppa;1481.0
Steppa ;2.0
Steppa   ;1.0
Steppa Instru;1.0
Stepper;4.0
Techno;202.0
Tekno;10.0
TerrorCore;1.0
Trance;19.0
Trap;2.0
Tribe;41.0
Tribecore;1.0
Triphop;1.0
US;12.0
Uptempo;49.0
Viking;3.0
Vocal;3086.0
downtempo;1.0
heavy;1.0
instru;3.0
prog;1.0
steppa;1.0
