title;artist;genre;power;key;bpm
Youth Are The Future - DanI Locks meets Jah Sonic;Dan I Locks, Jah Sonic Geometry;Dub, Vocal, Digital;3;12m;138.999695
Blue Hill - Bachala Dub_Dubbing Sun & Digid remix;Blue Hill, Dubbing Sun, Digid;Dub, Instru, Digital, Electrodub, Vocal, Heavy;4;9m;139.79393
Spine traveller;Ashkabad ;Dub, Instru, Digital;2;11m;114.999878
Ikiny;Khoe-Wa, Luiza;Dub, Vocal, Digital, Electrodub;2;10m;95.999634
Better Life (Roots Raid Remix);Mexican Stepper, Sista Bethsab;Dub, Vocal, Digital, Electrodub;3;;71.00016
Signs - Barbés.D feat. Sista Bethsabée;Barbés D, Sista Bethsabée;Dub, Vocal, Digital, Chill;2;;130.000015
Musica_Remix;OBF, Belén Natali, Sr Wilson;Dub, Vocal, ElectroDub, Heavy;3;;137.999496
Cool It Down;PlusStepper, KattyGyal Kenta;Dub, Vocal, Digital, Electrodub, Steppa;4;2m;70.000099
After the fasting;Dub Cooker;Dub, Vocal, Sample, Steppa, Digital;3;9m;152.000381
Lightning and Thunder;Le Lab;Dub, Instru, Digital, Steppa;3;12m;114.99955
Sub Conscious;Ashkabad ;Dub, Vocal, Electrodub, Digital;3;5m;132.000549
Kepler's Belt;Dubbytek;Dub, Instru, Digital, Steppa;3;1m;77.499626
Ra Sin;Khoe-Wa, Luiza;Dub, Vocal, Digital, Electrodub;4;2m;63.499912
Arabian Skank;PlusStepper;Dub, Vocal, Digital, Steppa;3;11d;149.999924
Better Dub (Roots Raid Remix);Mexican Stepper, Sista Bethsab;Dub, Instru, Digital, Electrodub;3;;70.999695
Warrior Arena - Digital Seal Hi-Fi;Digital Seal Hi-Fi;Dub, Vocal, Digital, Steppa;3;;143.000519
King Size;Dub Cooker;Dub, Vocal, Sample, Digital, Steppa;3;11d;138.000946
Lost In Space;Dubbytek;Dub, Instru, Digital, Electrodub, Dubstep;3;8m;71.000046
Tinoda;Khoe-Wa, Luiza;Dub, Vocal, Digital, Electrodub;3;3m;139.999985
Forward;PlusStepper;Dub, Vocal, Digital, Steppa;3;11m;139.999619
Better Life (Mr Zebre Remix);Mexican Stepper, Sista Bethsab;Dub, Vocal, Digital;4;;141.999878
Cure Them;"Paul ""Pilah"" Kozmik, Joe Pilgrim";Dub, Vocal, Digital, Electrodub, Heavy, Steppa, Future;3;;120.033279
Dub Voyage;PlusStepper;Dub, Instru, Digital, Steppa;3;2m;99.999649
Le Vin;Dub Cooker;Dub, Instru, Digital, Steppa, Uptempo;4;10m;181.00029
The streets (Feat. Nai Jah);Ashkabad ;Dub, Vocal, Digital;2;1d;131.99939
Solaris Dub;Dubbytek;Dub, Instru, Digital, Steppa, Electrodub, Future;3;3m;143.000153
Fairysong;Khoe-Wa, Luiza;Dub, Vocal, Digital, Electrodub;3;9m;147.999771
Bless;PlusStepper;Dub, Vocal, Digital, Steppa;3;1m;145.000137
Better Dub (Mr Zebre Remix);Mexican Stepper, Sista Bethsab;Dub, Instru, Digital;4;;141.999817
Irie - Mexican Stepper feat. Sista Bethsab;Mexican Stepper, Sista Bethsab;Dub, Vocal, Steppa, ElectroDub;3;;138.00032
Oj Lyuli;PlusStepper, Mila Mazur;Dub, Vocal, Digital, Melodic;3;1m;175.000015
Space cake;Dub Cooker;Dub, Instru, Digital, Steppa;3;11m;140.005142
Spring Vibe;Le Lab;Dub, Instru, Digital;2;1m;67.500092
Exuvia;Ashkabad ;Dub, Instru, Digital, Electrodub, Dubstep;3;1m;73.999886
Around Red Planet;Dubbytek, Razaman;Dub, Vocal, Digital, Steppa;3;4m;147.998947
Nadjilo;Khoe-Wa, Luiza;Dub, Vocal, Digital, Melodic, Steppa;3;11m;137.99942
Captain Jah;PlusStepper;Dub, Vocal, Digital, Steppa, Electrodub;3;12d;140.000015
Better Life (Antxon Saguardi Remix);Mexican Stepper, Sista Bethsab;Dub, Vocal, Digital, Electrodub;3;;141.999741
Spellin' - Digital Seal Hi-Fi;Digital Seal Hi-Fi;Dub, Vocal, Digital, Steppa, Chill;2;;145.000168
